,Absorbing State,Absorbing Probability,Sum
0,"[2, 4, 16, 2048]",0.290655,2070
1,"[2, 2, 8, 8, 2048]",0.347839,2068
2,"[2, 4, 8, 8, 2048]",0.077392,2070
3,"[4, 4, 8, 8, 2048]",0.004237,2072
4,"[2, 2, 4, 16, 2048]",0.141575,2072
5,"[2, 4, 4, 8, 2048]",0.035259,2066
6,"[2, 4, 4, 16, 2048]",0.03922,2074
7,"[2, 2, 8, 16, 2048]",0.005813,2076
8,"[4, 4, 16, 2048]",0.032627,2072
9,"[2, 8, 16, 2048]",0.012142,2074
10,"[4, 8, 16, 2048]",0.00134,2076
11,"[4, 4, 4, 8, 2048]",0.003936,2068
12,"[2, 2, 16, 2048]",0.003875,2068
13,"[4, 4, 4, 16, 2048]",0.002656,2076
14,"[2, 4, 8, 16, 2048]",0.001304,2078
15,"[4, 4, 8, 16, 2048]",7.1e-05,2080
16,"[2, 2, 4, 8, 16, 2048]",5.5e-05,2080
17,"[2, 4, 4, 8, 16, 2048]",3e-06,2082
18,"[2, 8, 8, 16, 2048]",1e-06,2082
