,absorbing state,absorbing probability,sum
0,"[2, 4, 4, 8, 2048]",0.035334,2066
1,"[2, 2, 8, 8, 2048]",0.347396,2068
2,"[4, 4, 4, 8, 2048]",0.003894,2068
3,"[2, 2, 16, 2048]",0.00387,2068
4,"[2, 4, 8, 8, 2048]",0.077021,2070
5,"[2, 4, 16, 2048]",0.291512,2070
6,"[4, 4, 8, 8, 2048]",0.004361,2072
7,"[4, 4, 16, 2048]",0.032268,2072
8,"[2, 2, 4, 16, 2048]",0.14126,2072
9,"[2, 4, 4, 16, 2048]",0.039471,2074
10,"[2, 8, 16, 2048]",0.012315,2074
11,"[4, 8, 16, 2048]",0.001304,2076
12,"[4, 4, 4, 16, 2048]",0.002636,2076
13,"[2, 2, 8, 16, 2048]",0.005892,2076
14,"[2, 4, 8, 16, 2048]",0.001348,2078
15,"[4, 4, 8, 16, 2048]",6.8e-05,2080
16,"[2, 2, 4, 8, 16, 2048]",4.5e-05,2080
17,"[2, 4, 4, 8, 16, 2048]",4e-06,2082
18,"[2, 8, 8, 16, 2048]",1e-06,2082
19,"[4, 8, 8, 16, 2048]",0.0,2084
20,"[4, 4, 4, 8, 16, 2048]",0.0,2084
21,"[2, 2, 8, 8, 16, 2048]",0.0,2084
22,"[2, 2, 16, 16, 2048]",0.0,2084
23,"[2, 4, 8, 8, 16, 2048]",0.0,2086
24,"[2, 4, 16, 16, 2048]",0.0,2086
25,"[4, 4, 16, 16, 2048]",0.0,2088
