,state,sum
0,[0],0
1,"[2, 2]",4
2,"[2, 4]",6
3,"[4, 4]",8
4,"[2, 2, 4]",8
5,"[2, 4, 4]",10
6,"[2, 8]",10
7,"[2, 2, 8]",12
8,"[4, 4, 4]",12
9,"[4, 8]",12
10,"[2, 4, 8]",14
11,"[2, 2, 4, 8]",16
12,"[4, 4, 8]",16
13,"[2, 4, 4, 8]",18
14,"[2, 8, 8]",18
15,"[2, 2, 8, 8]",20
16,"[4, 4, 4, 8]",20
17,"[2, 2, 16]",20
18,"[4, 8, 8]",20
19,"[2, 4, 16]",22
20,"[2, 4, 8, 8]",22
21,"[2, 2, 4, 16]",24
22,"[4, 4, 16]",24
23,"[4, 4, 8, 8]",24
24,"[2, 4, 4, 16]",26
25,"[2, 8, 16]",26
26,"[2, 2, 8, 16]",28
27,"[4, 4, 4, 16]",28
28,"[4, 8, 16]",28
29,"[2, 4, 8, 16]",30
30,"[2, 2, 4, 8, 16]",32
31,"[4, 4, 8, 16]",32
32,"[2, 4, 4, 8, 16]",34
33,"[2, 8, 8, 16]",34
34,"[2, 2, 8, 8, 16]",36
35,"[4, 4, 4, 8, 16]",36
36,"[2, 2, 16, 16]",36
37,"[4, 8, 8, 16]",36
38,"[2, 4, 16, 16]",38
39,"[2, 4, 8, 8, 16]",38
40,"[2, 4, 32]",38
41,"[2, 2, 4, 32]",40
42,"[4, 4, 16, 16]",40
43,"[2, 2, 4, 16, 16]",40
44,"[4, 4, 8, 8, 16]",40
45,"[4, 4, 32]",40
46,"[2, 4, 4, 32]",42
47,"[2, 8, 32]",42
48,"[2, 4, 4, 16, 16]",42
49,"[2, 8, 16, 16]",42
50,"[2, 2, 8, 32]",44
51,"[4, 4, 4, 32]",44
52,"[4, 8, 32]",44
53,"[4, 8, 16, 16]",44
54,"[2, 4, 8, 32]",46
55,"[2, 2, 4, 8, 32]",48
56,"[4, 4, 8, 32]",48
57,"[2, 4, 4, 8, 32]",50
58,"[2, 8, 8, 32]",50
59,"[2, 2, 8, 8, 32]",52
60,"[4, 4, 4, 8, 32]",52
61,"[2, 2, 16, 32]",52
62,"[4, 8, 8, 32]",52
63,"[2, 4, 16, 32]",54
64,"[2, 4, 8, 8, 32]",54
65,"[2, 2, 4, 16, 32]",56
66,"[4, 4, 16, 32]",56
67,"[4, 4, 8, 8, 32]",56
68,"[2, 4, 4, 16, 32]",58
69,"[2, 8, 16, 32]",58
70,"[2, 2, 8, 16, 32]",60
71,"[4, 4, 4, 16, 32]",60
72,"[4, 8, 16, 32]",60
73,"[2, 4, 8, 16, 32]",62
74,"[2, 2, 4, 8, 16, 32]",64
75,"[4, 4, 8, 16, 32]",64
76,"[2, 4, 4, 8, 16, 32]",66
77,"[2, 8, 8, 16, 32]",66
78,"[2, 2, 8, 8, 16, 32]",68
79,"[4, 4, 4, 8, 16, 32]",68
80,"[2, 2, 16, 16, 32]",68
81,"[4, 8, 8, 16, 32]",68
82,"[2, 4, 16, 16, 32]",70
83,"[2, 4, 8, 8, 16, 32]",70
84,"[2, 4, 32, 32]",70
85,"[2, 2, 4, 32, 32]",72
86,"[4, 4, 16, 16, 32]",72
